LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Total units with commencement date,Toal units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
21/P4524,Merton,23/12/2021,Approved,All Other,ERECTION OF A NEW DWELLING INCLUDING BASEMENT.,,12,Lancaster Gardens,Wimbledon,SW19 5DG,,,,,1,1,0,,,Approved,31/03/2022,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=21/P4524
884/APP/2020/1820,Hillingdon,,Approved,All Other,"Replacement of existing rear extension with part single storey, part two storey extension comprising of an extended shop floor and 1 x one-bedroom flat above",60 STATION ROAD HAYES,,,,UB3 4DF,,,,,1,0,1,,,Approved,28/03/2022,,,
21/05225/FULL,Westminster,29/07/2021,Approved,All Other,"Subdivision of existing 4 bedroom flat to create two flats (Class C3), one three bedroom flat and one two bedroom flat.",Clarewood Court,,Seymour Place,,W1H 2NL,,,,,2,1,1,,,Approved,31/03/2022,,,
12884/APP/2022/651,Hillingdon,,Approved,All Other,Conversion of first floor office (Class E) to 2 residential units (Class C3).,21 & 21B WINDSOR STREET,,,,,,,,,2,0,2,,,Approved,21/03/2022,,,
21/03777/PRIORM,Bexley,07/01/2022,Approved,All Other,Prior Notification for the change of use of the first floor from ancillary retail space (Use Class E) to 1 x 2 bed and 1 x 3 bed flats (Use Class C3),,"109, 111",Welling High Street,,DA16 1TY,,,,,2,0,2,,,Approved,03/03/2022,,,
21/AP/2887,London Borough of Southwark,13/08/2021,Approved,All Other,"Certificate of Lawful Development (Existing) to establish the existing use of Flats 2A and 2B and of the Annex at 19 Lyndhurst Way as separate, self-contained flats.",,19,Lyndhurst Way,,,,,,,2,0,2,,,Approved,14/10/2021,,,
22/00205/FULL1,Bromley,25/01/2022,Approved,All Other,"Erection of a single storey rear/side extension with secondary first floor rear stepped access, loft conversion with rear dormer together with change of use from a single dwelling to two flats.",,118,Elmers End Road,,BR3 4TA,,,,,2,1,1,,,Approved,05/04/2022,,,
21/02338/PRIOR,Bexley,03/08/2021,Approved,Prior Approval,Notification for Prior Approval for the proposed change of use of the ground floor dry cleaners (Use Class A1) to provide 1 x 1 bed flat with associated amenity space.,,266,Sherwood Park Avenue,,DA15 9JN,,,,,1,0,1,,,Approved,27/09/2021,,,
20/AP/3297,London Borough of Southwark,13/11/2020,Approved,All Other,"Details of Condition 5 -Domestic refuse Storage as required by planning permission 20/AP/1750 dated 24/08/2020 for Construction of an extension to the rear outrigger at first and second floor level, dormer window to the rear roof plane and addition of three roof lights to the principal roof plane, to facilitate the subdivision of the existing three bedroom dwelling into two self contained flats (1 X 1B2P and 1 X 2B4P), complete with alteration to the existing shop front to include the residential entrance.",,15,Westmoreland Road,,SE17 2AX,,,,,2,1,1,,,Approved,21/09/2021,,,
21/5421/FUL,London Borough of Barnet,12/10/2021,Approved,All Other,Change of use of commercial unit (Class E) to two residential units (Class C3) and minor alteration from single to double doors at ground floor,,186,High Street,,HA8 7EX,,,,,2,0,2,,,Approved,30/03/2022,,,
